component	file	line	raw	normalized	review_class
patient	patient-app/app/mental-health/self-assessment.tsx	26	/mental-health/assessment-questions	/mental-health/assessment-questions	API_CANDIDATE_REVIEW
patient	patient-app/app/mental-health/self-assessment.tsx	86	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/mental-health/therapist-match.tsx	97	/consultations/doctor-profile	/consultations/doctor-profile	API_CANDIDATE_REVIEW
patient	patient-app/app/mental-health/therapist-match.tsx	119	/consultations/booking-confirm	/consultations/booking-confirm	API_CANDIDATE_REVIEW
patient	patient-app/app/nursing/live-tracking.tsx	148	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/nursing/nurse-profile.tsx	85	/home-care/insurance/verify	/home-care/insurance/verify	API_CANDIDATE_REVIEW
patient	patient-app/app/nursing/nurse-profile.tsx	121	/home-care/bookings	/home-care/bookings	API_CANDIDATE_REVIEW
patient	patient-app/app/nursing/nurse-profile.tsx	126	/nursing/live-tracking	/nursing/live-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/nursing/nurse-profile.tsx	141	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/nursing/service-details.tsx	148	/nursing/nurse-profile	/nursing/nurse-profile	API_CANDIDATE_REVIEW
patient	patient-app/app/nursing/service-details.tsx	213	/nursing/nurse-profile	/nursing/nurse-profile	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/ai-plan-builder.tsx	201	/nutrition/nutrition-plan	/nutrition/nutrition-plan	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/ai-plan-builder.tsx	202	/nutrition/exercise-plan	/nutrition/exercise-plan	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/body-composition.tsx	150	/nutrition/body-target	/nutrition/body-target	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/body-composition.tsx	156	/nutrition/ai-plan-builder	/nutrition/ai-plan-builder	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/body-target.tsx	110	/nutrition/ai-plan-builder	/nutrition/ai-plan-builder	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/body-target.tsx	111	/nutrition/body-composition	/nutrition/body-composition	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/calorie-analyzer.tsx	73	/nutrition/daily-tracker	/nutrition/daily-tracker	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/daily-tracker.tsx	108	/nutrition/log-meal	/nutrition/log-meal	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/daily-tracker.tsx	155	/nutrition/exercise-plan	/nutrition/exercise-plan	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/daily-tracker.tsx	168	/nutrition/calorie-analyzer	/nutrition/calorie-analyzer	API_CANDIDATE_REVIEW
patient	patient-app/app/nutrition/food-scanner.tsx	82	/nutrition/daily-tracker	/nutrition/daily-tracker	API_CANDIDATE_REVIEW
