file	line	method	endpoint	source
patient-app/nabd_plus/app/insurance/copay.tsx	57	POST	/patient/pay-copay	apiFetch
patient-app/nabd_plus/app/insurance/coverage-check.tsx	34	GET	/insurance/coverage-check?service_type=${serviceType}${providerName ?	apiFetch
patient-app/nabd_plus/app/insurance/hub.tsx	95	GET	/users/me/insurance	apiFetch
patient-app/nabd_plus/app/insurance/hub.tsx	122	GET	/insurance/claims	apiFetch
patient-app/nabd_plus/app/insurance/hub.tsx	161	POST	/insurance/save-policy	apiFetch
patient-app/nabd_plus/app/insurance/network-providers.tsx	52	GET	/users/me/profile	apiFetch
patient-app/nabd_plus/app/insurance/network-providers.tsx	63	GET	/providers?${qs.toString()}	apiFetch
patient-app/nabd_plus/app/insurance/payment-split.tsx	47	GET	/insurance/coverage-check?service_type=${SERVICE.serviceType}	apiFetch
patient-app/nabd_plus/app/insurance/payment-split.tsx	59	GET	/wallet/cards	apiFetch
patient-app/nabd_plus/app/insurance/payment-split.tsx	93	POST	/insurance/payment-confirm	apiFetch
patient-app/nabd_plus/app/insurance/policy-detail.tsx	24	GET	/users/me/profile	apiFetch
patient-app/nabd_plus/app/insurance/refund-status.tsx	33	GET	/refunds/my	apiFetch
patient-app/nabd_plus/app/insurance/submit-claim.tsx	27	POST	/insurance/claims/submit	apiFetch
patient-app/nabd_plus/app/loyalty/challenges.tsx	30	POST	/loyalty/challenges	apiFetch
patient-app/nabd_plus/app/loyalty/challenges.tsx	52	POST	/loyalty/challenges/${id}/join	apiFetch
patient-app/nabd_plus/app/loyalty/hub.tsx	61	GET	/loyalty/account	apiFetch
patient-app/nabd_plus/app/loyalty/hub.tsx	65	GET	/loyalty/transactions?page=1	apiFetch
patient-app/nabd_plus/app/loyalty/hub.tsx	68	GET	/loyalty/config	apiFetch
patient-app/nabd_plus/app/loyalty/hub.tsx	74	GET	/loyalty/rewards	apiFetch
patient-app/nabd_plus/app/loyalty/hub.tsx	294	POST	/loyalty/rewards/${rid}/claim	apiFetch
patient-app/nabd_plus/app/loyalty/leaderboard.tsx	36	GET	/loyalty/leaderboard?limit=50	apiFetch
patient-app/nabd_plus/app/loyalty/referrals.tsx	53	GET	/referrals/my	apiFetch
patient-app/nabd_plus/app/loyalty/referrals.tsx	86	POST	/referrals/apply	apiFetch
patient-app/nabd_plus/app/loyalty/rewards.tsx	30	GET	/loyalty/account	apiFetch
patient-app/nabd_plus/app/loyalty/rewards.tsx	33	GET	/loyalty/rewards	apiFetch
patient-app/nabd_plus/app/loyalty/rewards.tsx	59	POST	/loyalty/rewards/${reward.id}/claim	apiFetch
