component	file	line	raw	normalized	classification	backend_candidates
patient	patient-app/app/family/calendar.tsx	84	/family/calendar/event	/family/calendar/event	MATCHED_ROUTE	POST /family/calendar/event (backend/src/modules/family/family.controller.ts:67)
patient	patient-app/app/family/chat.tsx	35	/family/chat/messages	/family/chat/messages	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/chat.tsx	64	/reports/view-report	/reports/view-report	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/chat.tsx	81	/family/voice-call	/family/voice-call	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/chat.tsx	82	/consultations/video-call	/consultations/video-call	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/chat.tsx	99	/reports/hub	/reports/hub	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/emergency-contacts.tsx	144	/emergency/sos	/emergency/sos	MATCHED_ROUTE	GET /emergency/:id (backend/src/modules/emergency/emergency.controller.ts:28)
patient	patient-app/app/family/hub.tsx	84	/family/members	/family/members	MATCHED_ROUTE	GET /family/members (backend/src/modules/family/family.controller.ts:47)
patient	patient-app/app/family/hub.tsx	108	/family/invite	/family/invite	MATCHED_ROUTE	POST /family/invite (backend/src/modules/family/family.controller.ts:29)
patient	patient-app/app/family/hub.tsx	122	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/hub.tsx	209	/family/chat	/family/chat	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/hub.tsx	218	/family/invite	/family/invite	MATCHED_ROUTE	POST /family/invite (backend/src/modules/family/family.controller.ts:29)
patient	patient-app/app/family/invite.tsx	28	/family/invite	/family/invite	MATCHED_ROUTE	POST /family/invite (backend/src/modules/family/family.controller.ts:29)
patient	patient-app/app/family/join.tsx	32	/family/join	/family/join	MATCHED_ROUTE	POST /family/join (backend/src/modules/family/family.controller.ts:35)
patient	patient-app/app/family/join.tsx	86	/health/family-hub	/health/family-hub	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/member-health.tsx	257	/family/chat	/family/chat	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/member-health.tsx	263	/family/voice-call	/family/voice-call	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/member-health.tsx	269	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/family/permission-request.tsx	22	/family/permissions/pending	/family/permissions/pending	MATCHED_ROUTE	GET /family/permissions/pending (backend/src/modules/family/family.controller.ts:100)
